,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,Date_No
107,108,5,31-07-2015,992,Open,Yes,No Holiday,No,2015.66826484
108,109,5,31-07-2015,864,Open,Yes,No Holiday,Yes,2015.66826484
109,110,5,31-07-2015,745,Open,Yes,No Holiday,Yes,2015.66826484
110,111,5,31-07-2015,698,Open,Yes,No Holiday,Yes,2015.66826484
111,112,5,31-07-2015,817,Open,Yes,No Holiday,Yes,2015.66826484
112,113,5,31-07-2015,735,Open,Yes,No Holiday,No,2015.66826484
113,114,5,31-07-2015,620,Open,Yes,No Holiday,Yes,2015.66826484
114,115,5,31-07-2015,674,Open,Yes,No Holiday,No,2015.66826484
115,116,5,31-07-2015,770,Open,Yes,No Holiday,Yes,2015.66826484
116,117,5,31-07-2015,507,Open,Yes,No Holiday,Yes,2015.66826484
117,118,5,31-07-2015,797,Open,Yes,No Holiday,Yes,2015.66826484
118,119,5,31-07-2015,684,Open,Yes,No Holiday,Yes,2015.66826484
119,120,5,31-07-2015,794,Open,Yes,No Holiday,Yes,2015.66826484
120,121,5,31-07-2015,549,Open,Yes,No Holiday,Yes,2015.66826484
121,122,5,31-07-2015,1327,Open,Yes,No Holiday,Yes,2015.66826484
122,123,5,31-07-2015,1108,Open,Yes,No Holiday,Yes,2015.66826484
123,124,5,31-07-2015,780,Open,Yes,No Holiday,Yes,2015.66826484
124,125,5,31-07-2015,2041,Open,Yes,No Holiday,Yes,2015.66826484
125,126,5,31-07-2015,734,Open,Yes,No Holiday,Yes,2015.66826484
126,127,5,31-07-2015,848,Open,Yes,No Holiday,No,2015.66826484
127,128,5,31-07-2015,694,Open,Yes,No Holiday,Yes,2015.66826484
128,129,5,31-07-2015,1286,Open,Yes,No Holiday,No,2015.66826484
129,130,5,31-07-2015,545,Open,Yes,No Holiday,Yes,2015.66826484
130,131,5,31-07-2015,524,Open,Yes,No Holiday,Yes,2015.66826484
131,132,5,31-07-2015,743,Open,Yes,No Holiday,No,2015.66826484
132,133,5,31-07-2015,876,Open,Yes,No Holiday,Yes,2015.66826484
133,134,5,31-07-2015,501,Open,Yes,No Holiday,Yes,2015.66826484
134,135,5,31-07-2015,619,Open,Yes,No Holiday,Yes,2015.66826484
135,136,5,31-07-2015,619,Open,Yes,No Holiday,No,2015.66826484
136,137,5,31-07-2015,1121,Open,Yes,No Holiday,No,2015.66826484
137,138,5,31-07-2015,866,Open,Yes,No Holiday,Yes,2015.66826484
138,139,5,31-07-2015,564,Open,Yes,No Holiday,No,2015.66826484
139,140,5,31-07-2015,1085,Open,Yes,No Holiday,Yes,2015.66826484
140,141,5,31-07-2015,813,Open,Yes,No Holiday,Yes,2015.66826484
141,142,5,31-07-2015,614,Open,Yes,No Holiday,Yes,2015.66826484
142,143,5,31-07-2015,720,Open,Yes,No Holiday,Yes,2015.66826484
143,144,5,31-07-2015,817,Open,Yes,No Holiday,No,2015.66826484
144,145,5,31-07-2015,1343,Open,Yes,No Holiday,No,2015.66826484
145,146,5,31-07-2015,784,Open,Yes,No Holiday,Yes,2015.66826484
146,147,5,31-07-2015,1007,Open,Yes,No Holiday,Yes,2015.66826484
147,148,5,31-07-2015,848,Open,Yes,No Holiday,Yes,2015.66826484
148,149,5,31-07-2015,615,Open,Yes,No Holiday,No,2015.66826484
149,150,5,31-07-2015,975,Open,Yes,No Holiday,Yes,2015.66826484
150,151,5,31-07-2015,853,Open,Yes,No Holiday,Yes,2015.66826484
151,152,5,31-07-2015,694,Open,Yes,No Holiday,Yes,2015.66826484
152,153,5,31-07-2015,638,Open,Yes,No Holiday,Yes,2015.66826484
153,154,5,31-07-2015,792,Open,Yes,No Holiday,Yes,2015.66826484
154,155,5,31-07-2015,765,Open,Yes,No Holiday,No,2015.66826484
155,156,5,31-07-2015,821,Open,Yes,No Holiday,Yes,2015.66826484
156,157,5,31-07-2015,1060,Open,Yes,No Holiday,Yes,2015.66826484
157,158,5,31-07-2015,636,Open,Yes,No Holiday,Yes,2015.66826484
158,159,5,31-07-2015,812,Open,Yes,No Holiday,No,2015.66826484
159,160,5,31-07-2015,670,Open,Yes,No Holiday,Yes,2015.66826484
160,161,5,31-07-2015,924,Open,Yes,No Holiday,Yes,2015.66826484
161,162,5,31-07-2015,658,Open,Yes,No Holiday,Yes,2015.66826484
162,163,5,31-07-2015,823,Open,Yes,No Holiday,Yes,2015.66826484
163,164,5,31-07-2015,792,Open,Yes,No Holiday,No,2015.66826484
164,165,5,31-07-2015,501,Open,Yes,No Holiday,No,2015.66826484
165,166,5,31-07-2015,898,Open,Yes,No Holiday,Yes,2015.66826484
166,167,5,31-07-2015,1352,Open,Yes,No Holiday,Yes,2015.66826484
167,168,5,31-07-2015,957,Open,Yes,No Holiday,Yes,2015.66826484
168,169,5,31-07-2015,657,Open,Yes,No Holiday,Yes,2015.66826484
169,170,5,31-07-2015,589,Open,Yes,No Holiday,Yes,2015.66826484
170,171,5,31-07-2015,848,Open,Yes,No Holiday,Yes,2015.66826484
171,172,5,31-07-2015,891,Open,Yes,No Holiday,No,2015.66826484
172,173,5,31-07-2015,1145,Open,Yes,No Holiday,Yes,2015.66826484
173,174,5,31-07-2015,544,Open,Yes,No Holiday,No,2015.66826484
174,175,5,31-07-2015,754,Open,Yes,No Holiday,Yes,2015.66826484
175,176,5,31-07-2015,734,Open,Yes,No Holiday,Yes,2015.66826484
176,177,5,31-07-2015,525,Open,Yes,No Holiday,Yes,2015.66826484
177,178,5,31-07-2015,1070,Open,Yes,No Holiday,Yes,2015.66826484
178,179,5,31-07-2015,1183,Open,Yes,No Holiday,Yes,2015.66826484
179,180,5,31-07-2015,910,Open,Yes,No Holiday,Yes,2015.66826484
180,181,5,31-07-2015,801,Open,Yes,No Holiday,No,2015.66826484
181,182,5,31-07-2015,491,Open,Yes,No Holiday,Yes,2015.66826484
182,183,5,31-07-2015,714,Open,Yes,No Holiday,No,2015.66826484
183,184,5,31-07-2015,652,Open,Yes,No Holiday,Yes,2015.66826484
184,185,5,31-07-2015,602,Open,Yes,No Holiday,Yes,2015.66826484
185,186,5,31-07-2015,447,Open,Yes,No Holiday,No,2015.66826484
186,187,5,31-07-2015,907,Open,Yes,No Holiday,Yes,2015.66826484
187,188,5,31-07-2015,746,Open,Yes,No Holiday,Yes,2015.66826484
188,189,5,31-07-2015,940,Open,Yes,No Holiday,Yes,2015.66826484
189,190,5,31-07-2015,821,Open,Yes,No Holiday,No,2015.66826484
190,191,5,31-07-2015,801,Open,Yes,No Holiday,No,2015.66826484
191,192,5,31-07-2015,1027,Open,Yes,No Holiday,No,2015.66826484
192,193,5,31-07-2015,813,Open,Yes,No Holiday,Yes,2015.66826484
193,194,5,31-07-2015,518,Open,Yes,No Holiday,Yes,2015.66826484
194,195,5,31-07-2015,1403,Open,Yes,No Holiday,Yes,2015.66826484
195,196,5,31-07-2015,780,Open,Yes,No Holiday,Yes,2015.66826484
196,197,5,31-07-2015,1054,Open,Yes,No Holiday,Yes,2015.66826484
197,198,5,31-07-2015,473,Open,Yes,No Holiday,Yes,2015.66826484
198,199,5,31-07-2015,756,Open,Yes,No Holiday,Yes,2015.66826484
199,200,5,31-07-2015,1122,Open,Yes,No Holiday,Yes,2015.66826484
200,201,5,31-07-2015,544,Open,Yes,No Holiday,Yes,2015.66826484
201,202,5,31-07-2015,627,Open,Yes,No Holiday,Yes,2015.66826484
202,203,5,31-07-2015,960,Open,Yes,No Holiday,Yes,2015.66826484
203,204,5,31-07-2015,655,Open,Yes,No Holiday,No,2015.66826484
204,205,5,31-07-2015,969,Open,Yes,No Holiday,Yes,2015.66826484
205,206,5,31-07-2015,1004,Open,Yes,No Holiday,Yes,2015.66826484
206,207,5,31-07-2015,1436,Open,Yes,No Holiday,Yes,2015.66826484
207,208,5,31-07-2015,508,Open,Yes,No Holiday,Yes,2015.66826484
208,209,5,31-07-2015,830,Open,Yes,No Holiday,Yes,2015.66826484
209,210,5,31-07-2015,409,Open,Yes,No Holiday,Yes,2015.66826484
210,211,5,31-07-2015,1659,Open,Yes,No Holiday,Yes,2015.66826484
211,212,5,31-07-2015,471,Open,Yes,No Holiday,Yes,2015.66826484
212,213,5,31-07-2015,754,Open,Yes,No Holiday,Yes,2015.66826484
213,214,5,31-07-2015,805,Open,Yes,No Holiday,Yes,2015.66826484
214,215,5,31-07-2015,705,Open,Yes,No Holiday,No,2015.66826484
215,216,5,31-07-2015,1077,Open,Yes,No Holiday,Yes,2015.66826484
216,217,5,31-07-2015,759,Open,Yes,No Holiday,Yes,2015.66826484
217,218,5,31-07-2015,768,Open,Yes,No Holiday,No,2015.66826484
218,219,5,31-07-2015,433,Open,Yes,No Holiday,Yes,2015.66826484
219,220,5,31-07-2015,687,Open,Yes,No Holiday,Yes,2015.66826484
220,221,5,31-07-2015,651,Open,Yes,No Holiday,Yes,2015.66826484
221,222,5,31-07-2015,627,Open,Yes,No Holiday,Yes,2015.66826484
222,223,5,31-07-2015,898,Open,Yes,No Holiday,Yes,2015.66826484
223,224,5,31-07-2015,594,Open,Yes,No Holiday,Yes,2015.66826484
224,225,5,31-07-2015,682,Open,Yes,No Holiday,Yes,2015.66826484
225,226,5,31-07-2015,730,Open,Yes,No Holiday,Yes,2015.66826484
226,227,5,31-07-2015,595,Open,Yes,No Holiday,Yes,2015.66826484
227,228,5,31-07-2015,689,Open,Yes,No Holiday,Yes,2015.66826484
228,229,5,31-07-2015,937,Open,Yes,No Holiday,Yes,2015.66826484
229,230,5,31-07-2015,1091,Open,Yes,No Holiday,Yes,2015.66826484
230,231,5,31-07-2015,614,Open,Yes,No Holiday,No,2015.66826484
231,232,5,31-07-2015,469,Open,Yes,No Holiday,Yes,2015.66826484
232,233,5,31-07-2015,1148,Open,Yes,No Holiday,Yes,2015.66826484
233,234,5,31-07-2015,1088,Open,Yes,No Holiday,Yes,2015.66826484
234,235,5,31-07-2015,548,Open,Yes,No Holiday,Yes,2015.66826484
235,236,5,31-07-2015,1086,Open,Yes,No Holiday,Yes,2015.66826484
236,237,5,31-07-2015,564,Open,Yes,No Holiday,Yes,2015.66826484
237,238,5,31-07-2015,1372,Open,Yes,No Holiday,Yes,2015.66826484
238,239,5,31-07-2015,523,Open,Yes,No Holiday,Yes,2015.66826484
239,240,5,31-07-2015,474,Open,Yes,No Holiday,Yes,2015.66826484
240,241,5,31-07-2015,763,Open,Yes,No Holiday,Yes,2015.66826484
241,242,5,31-07-2015,451,Open,Yes,No Holiday,Yes,2015.66826484
242,243,5,31-07-2015,1249,Open,Yes,No Holiday,No,2015.66826484
243,244,5,31-07-2015,635,Open,Yes,No Holiday,Yes,2015.66826484
244,245,5,31-07-2015,1139,Open,Yes,No Holiday,Yes,2015.66826484
245,246,5,31-07-2015,1131,Open,Yes,No Holiday,Yes,2015.66826484
246,247,5,31-07-2015,839,Open,Yes,No Holiday,Yes,2015.66826484
247,248,5,31-07-2015,1228,Open,Yes,No Holiday,Yes,2015.66826484
248,249,5,31-07-2015,630,Open,Yes,No Holiday,Yes,2015.66826484
249,250,5,31-07-2015,887,Open,Yes,No Holiday,Yes,2015.66826484
250,251,5,31-07-2015,2508,Open,Yes,No Holiday,Yes,2015.66826484
251,252,5,31-07-2015,954,Open,Yes,No Holiday,Yes,2015.66826484
252,253,5,31-07-2015,906,Open,Yes,No Holiday,Yes,2015.66826484
253,254,5,31-07-2015,315,Open,Yes,No Holiday,Yes,2015.66826484
254,255,5,31-07-2015,739,Open,Yes,No Holiday,Yes,2015.66826484
255,256,5,31-07-2015,1185,Open,Yes,No Holiday,Yes,2015.66826484
256,257,5,31-07-2015,749,Open,Yes,No Holiday,Yes,2015.66826484
257,258,5,31-07-2015,601,Open,Yes,No Holiday,No,2015.66826484
258,259,5,31-07-2015,2628,Open,Yes,No Holiday,Yes,2015.66826484
259,260,5,31-07-2015,835,Open,Yes,No Holiday,Yes,2015.66826484
260,261,5,31-07-2015,989,Open,Yes,No Holiday,Yes,2015.66826484
261,262,5,31-07-2015,3669,Open,Yes,No Holiday,Yes,2015.66826484
262,263,5,31-07-2015,440,Open,Yes,No Holiday,No,2015.66826484
263,264,5,31-07-2015,992,Open,Yes,No Holiday,Yes,2015.66826484
264,265,5,31-07-2015,655,Open,Yes,No Holiday,Yes,2015.66826484
265,266,5,31-07-2015,495,Open,Yes,No Holiday,Yes,2015.66826484
266,267,5,31-07-2015,1217,Open,Yes,No Holiday,Yes,2015.66826484
267,268,5,31-07-2015,740,Open,Yes,No Holiday,Yes,2015.66826484
268,269,5,31-07-2015,1304,Open,Yes,No Holiday,Yes,2015.66826484
269,270,5,31-07-2015,1338,Open,Yes,No Holiday,Yes,2015.66826484
270,271,5,31-07-2015,934,Open,Yes,No Holiday,Yes,2015.66826484
271,272,5,31-07-2015,774,Open,Yes,No Holiday,Yes,2015.66826484
272,273,5,31-07-2015,792,Open,Yes,No Holiday,Yes,2015.66826484
273,274,5,31-07-2015,1374,Open,Yes,No Holiday,Yes,2015.66826484
274,275,5,31-07-2015,774,Open,Yes,No Holiday,No,2015.66826484
275,276,5,31-07-2015,575,Open,Yes,No Holiday,Yes,2015.66826484
276,277,5,31-07-2015,724,Open,Yes,No Holiday,No,2015.66826484
277,278,5,31-07-2015,929,Open,Yes,No Holiday,Yes,2015.66826484
278,279,5,31-07-2015,814,Open,Yes,No Holiday,No,2015.66826484
279,280,5,31-07-2015,579,Open,Yes,No Holiday,Yes,2015.66826484
280,281,5,31-07-2015,633,Open,Yes,No Holiday,Yes,2015.66826484
281,282,5,31-07-2015,608,Open,Yes,No Holiday,Yes,2015.66826484
282,283,5,31-07-2015,839,Open,Yes,No Holiday,No,2015.66826484
283,284,5,31-07-2015,520,Open,Yes,No Holiday,No,2015.66826484
284,285,5,31-07-2015,540,Open,Yes,No Holiday,Yes,2015.66826484
285,286,5,31-07-2015,438,Open,Yes,No Holiday,Yes,2015.66826484
286,287,5,31-07-2015,865,Open,Yes,No Holiday,No,2015.66826484
287,288,5,31-07-2015,480,Open,Yes,No Holiday,No,2015.66826484
288,289,5,31-07-2015,616,Open,Yes,No Holiday,Yes,2015.66826484
289,290,5,31-07-2015,719,Open,Yes,No Holiday,Yes,2015.66826484
290,291,5,31-07-2015,973,Open,Yes,No Holiday,Yes,2015.66826484
291,292,5,31-07-2015,0,Close,Yes,No Holiday,Yes,2015.66826484
292,293,5,31-07-2015,878,Open,Yes,No Holiday,Yes,2015.66826484
293,294,5,31-07-2015,889,Open,Yes,No Holiday,Yes,2015.66826484
294,295,5,31-07-2015,834,Open,Yes,No Holiday,Yes,2015.66826484
295,296,5,31-07-2015,801,Open,Yes,No Holiday,Yes,2015.66826484
296,297,5,31-07-2015,802,Open,Yes,No Holiday,Yes,2015.66826484
297,298,5,31-07-2015,803,Open,Yes,No Holiday,No,2015.66826484
298,299,5,31-07-2015,1015,Open,Yes,No Holiday,Yes,2015.66826484
299,300,5,31-07-2015,1082,Open,Yes,No Holiday,Yes,2015.66826484
300,301,5,31-07-2015,629,Open,Yes,No Holiday,Yes,2015.66826484
301,302,5,31-07-2015,393,Open,Yes,No Holiday,Yes,2015.66826484
302,303,5,31-07-2015,849,Open,Yes,No Holiday,Yes,2015.66826484
303,304,5,31-07-2015,1183,Open,Yes,No Holiday,Yes,2015.66826484
304,305,5,31-07-2015,599,Open,Yes,No Holiday,Yes,2015.66826484
305,306,5,31-07-2015,593,Open,Yes,No Holiday,No,2015.66826484
306,307,5,31-07-2015,377,Open,Yes,No Holiday,Yes,2015.66826484
307,308,5,31-07-2015,1026,Open,Yes,No Holiday,Yes,2015.66826484
308,309,5,31-07-2015,707,Open,Yes,No Holiday,Yes,2015.66826484
309,310,5,31-07-2015,926,Open,Yes,No Holiday,Yes,2015.66826484
310,311,5,31-07-2015,826,Open,Yes,No Holiday,Yes,2015.66826484
311,312,5,31-07-2015,651,Open,Yes,No Holiday,Yes,2015.66826484
312,313,5,31-07-2015,926,Open,Yes,No Holiday,Yes,2015.66826484
313,314,5,31-07-2015,700,Open,Yes,No Holiday,Yes,2015.66826484
314,315,5,31-07-2015,553,Open,Yes,No Holiday,Yes,2015.66826484
315,316,5,31-07-2015,927,Open,Yes,No Holiday,Yes,2015.66826484
316,317,5,31-07-2015,683,Open,Yes,No Holiday,No,2015.66826484
317,318,5,31-07-2015,746,Open,Yes,No Holiday,Yes,2015.66826484
318,319,5,31-07-2015,1079,Open,Yes,No Holiday,Yes,2015.66826484
319,320,5,31-07-2015,2316,Open,Yes,No Holiday,Yes,2015.66826484
320,321,5,31-07-2015,688,Open,Yes,No Holiday,Yes,2015.66826484
321,322,5,31-07-2015,621,Open,Yes,No Holiday,Yes,2015.66826484
322,323,5,31-07-2015,716,Open,Yes,No Holiday,Yes,2015.66826484
323,324,5,31-07-2015,855,Open,Yes,No Holiday,Yes,2015.66826484
324,325,5,31-07-2015,742,Open,Yes,No Holiday,Yes,2015.66826484
325,326,5,31-07-2015,544,Open,Yes,No Holiday,Yes,2015.66826484
326,327,5,31-07-2015,1150,Open,Yes,No Holiday,Yes,2015.66826484
327,328,5,31-07-2015,577,Open,Yes,No Holiday,Yes,2015.66826484
328,329,5,31-07-2015,743,Open,Yes,No Holiday,Yes,2015.66826484
329,330,5,31-07-2015,489,Open,Yes,No Holiday,Yes,2015.66826484
330,331,5,31-07-2015,814,Open,Yes,No Holiday,Yes,2015.66826484
331,332,5,31-07-2015,520,Open,Yes,No Holiday,Yes,2015.66826484
332,333,5,31-07-2015,1399,Open,Yes,No Holiday,Yes,2015.66826484
333,334,5,31-07-2015,599,Open,Yes,No Holiday,Yes,2015.66826484
334,335,5,31-07-2015,2592,Open,Yes,No Holiday,Yes,2015.66826484
335,336,5,31-07-2015,2049,Open,Yes,No Holiday,Yes,2015.66826484
336,337,5,31-07-2015,493,Open,Yes,No Holiday,Yes,2015.66826484
337,338,5,31-07-2015,657,Open,Yes,No Holiday,Yes,2015.66826484
338,339,5,31-07-2015,840,Open,Yes,No Holiday,Yes,2015.66826484
339,340,5,31-07-2015,802,Open,Yes,No Holiday,Yes,2015.66826484
340,341,5,31-07-2015,851,Open,Yes,No Holiday,Yes,2015.66826484
341,342,5,31-07-2015,987,Open,Yes,No Holiday,No,2015.66826484
342,343,5,31-07-2015,802,Open,Yes,No Holiday,Yes,2015.66826484
343,344,5,31-07-2015,1434,Open,Yes,No Holiday,Yes,2015.66826484
344,345,5,31-07-2015,505,Open,Yes,No Holiday,No,2015.66826484
345,346,5,31-07-2015,734,Open,Yes,No Holiday,Yes,2015.66826484
346,347,5,31-07-2015,504,Open,Yes,No Holiday,Yes,2015.66826484
347,348,5,31-07-2015,831,Open,Yes,No Holiday,No,2015.66826484
348,349,5,31-07-2015,873,Open,Yes,No Holiday,Yes,2015.66826484
349,350,5,31-07-2015,614,Open,Yes,No Holiday,Yes,2015.66826484
350,351,5,31-07-2015,652,Open,Yes,No Holiday,Yes,2015.66826484
351,352,5,31-07-2015,716,Open,Yes,No Holiday,Yes,2015.66826484
352,353,5,31-07-2015,1851,Open,Yes,No Holiday,Yes,2015.66826484
353,354,5,31-07-2015,791,Open,Yes,No Holiday,Yes,2015.66826484
354,355,5,31-07-2015,1304,Open,Yes,No Holiday,Yes,2015.66826484
355,356,5,31-07-2015,602,Open,Yes,No Holiday,Yes,2015.66826484
356,357,5,31-07-2015,1218,Open,Yes,No Holiday,Yes,2015.66826484
