,Unnamed: 0,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,Promo2On,Promo2Date
29,29,30,5,31-07-2015,625,Open,Yes,No Holiday,Yes,0,0.0
30,30,31,5,31-07-2015,645,Open,Yes,No Holiday,Yes,0,0.0
31,31,32,5,31-07-2015,635,Open,Yes,No Holiday,No,0,0.0
32,32,33,5,31-07-2015,915,Open,Yes,No Holiday,Yes,0,0.0
33,33,34,5,31-07-2015,1162,Open,Yes,No Holiday,Yes,0,0.0
34,34,35,5,31-07-2015,777,Open,Yes,No Holiday,Yes,1,2012.01923077
35,35,36,5,31-07-2015,1251,Open,Yes,No Holiday,No,1,2014.76923077
36,36,37,5,31-07-2015,888,Open,Yes,No Holiday,Yes,0,0.0
37,37,38,5,31-07-2015,608,Open,Yes,No Holiday,Yes,0,0.0
38,38,39,5,31-07-2015,929,Open,Yes,No Holiday,Yes,0,0.0
39,39,40,5,31-07-2015,678,Open,Yes,No Holiday,Yes,0,0.0
40,40,41,5,31-07-2015,494,Open,Yes,No Holiday,No,1,2013.59615385
41,41,42,5,31-07-2015,1235,Open,Yes,No Holiday,Yes,1,2011.76923077
42,42,43,5,31-07-2015,683,Open,Yes,No Holiday,Yes,1,2009.71153846
43,43,44,5,31-07-2015,665,Open,Yes,No Holiday,Yes,0,0.0
44,44,45,5,31-07-2015,442,Open,Yes,No Holiday,Yes,0,0.0
45,45,46,5,31-07-2015,775,Open,Yes,No Holiday,No,1,2011.26923077
46,46,47,5,31-07-2015,1021,Open,Yes,No Holiday,Yes,1,2013.26923077
47,47,48,5,31-07-2015,390,Open,Yes,No Holiday,Yes,0,0.0
48,48,49,5,31-07-2015,666,Open,Yes,No Holiday,Yes,0,0.0
49,49,50,5,31-07-2015,441,Open,Yes,No Holiday,Yes,0,0.0
50,50,51,5,31-07-2015,610,Open,Yes,No Holiday,No,1,2011.17307692
51,51,52,5,31-07-2015,527,Open,Yes,No Holiday,No,1,2010.75
52,52,53,5,31-07-2015,690,Open,Yes,No Holiday,Yes,0,0.0
53,53,54,5,31-07-2015,889,Open,Yes,No Holiday,Yes,0,0.0
54,54,55,5,31-07-2015,673,Open,Yes,No Holiday,Yes,0,0.0
55,55,56,5,31-07-2015,619,Open,Yes,No Holiday,Yes,0,0.0
56,56,57,5,31-07-2015,1025,Open,Yes,No Holiday,Yes,0,0.0
57,57,58,5,31-07-2015,603,Open,Yes,No Holiday,No,1,2012.51923077
58,58,59,5,31-07-2015,628,Open,Yes,No Holiday,Yes,1,2011.26923077
59,59,60,5,31-07-2015,776,Open,Yes,No Holiday,Yes,0,0.0
60,60,61,5,31-07-2015,665,Open,Yes,No Holiday,Yes,1,2012.01923077
61,61,62,5,31-07-2015,772,Open,Yes,No Holiday,Yes,0,0.0
62,62,63,5,31-07-2015,846,Open,Yes,No Holiday,Yes,0,0.0
63,63,64,5,31-07-2015,935,Open,Yes,No Holiday,Yes,1,2013.26923077
64,64,65,5,31-07-2015,561,Open,Yes,No Holiday,Yes,1,2012.01923077
65,65,66,5,31-07-2015,636,Open,Yes,No Holiday,Yes,1,2009.71153846
66,66,67,5,31-07-2015,912,Open,Yes,No Holiday,Yes,0,0.0
67,67,68,5,31-07-2015,1341,Open,Yes,No Holiday,Yes,0,0.0
68,68,69,5,31-07-2015,1371,Open,Yes,No Holiday,Yes,1,2011.76923077
69,69,70,5,31-07-2015,741,Open,Yes,No Holiday,Yes,0,0.0
70,70,71,5,31-07-2015,869,Open,Yes,No Holiday,Yes,0,0.0
71,71,72,5,31-07-2015,520,Open,Yes,No Holiday,No,1,2010.25
72,72,73,5,31-07-2015,537,Open,Yes,No Holiday,Yes,0,0.0
73,73,74,5,31-07-2015,929,Open,Yes,No Holiday,Yes,0,0.0
74,74,75,5,31-07-2015,807,Open,Yes,No Holiday,Yes,0,0.0
75,75,76,5,31-07-2015,1228,Open,Yes,No Holiday,No,0,0.0
76,76,77,5,31-07-2015,780,Open,Yes,No Holiday,Yes,1,2014.19230769
77,77,78,5,31-07-2015,610,Open,Yes,No Holiday,Yes,0,0.0
78,78,79,5,31-07-2015,643,Open,Yes,No Holiday,Yes,0,0.0
79,79,80,5,31-07-2015,675,Open,Yes,No Holiday,Yes,0,0.0
80,80,81,5,31-07-2015,640,Open,Yes,No Holiday,No,1,2014.76923077
81,81,82,5,31-07-2015,1035,Open,Yes,No Holiday,Yes,1,2009.71153846
82,82,83,5,31-07-2015,327,Open,Yes,No Holiday,Yes,0,0.0
83,83,84,5,31-07-2015,1439,Open,Yes,No Holiday,Yes,0,0.0
84,84,85,5,31-07-2015,971,Open,Yes,No Holiday,Yes,0,0.0
85,85,86,5,31-07-2015,678,Open,Yes,No Holiday,Yes,1,2013.59615385
86,86,87,5,31-07-2015,715,Open,Yes,No Holiday,Yes,0,0.0
87,87,88,5,31-07-2015,776,Open,Yes,No Holiday,Yes,0,0.0
88,88,89,5,31-07-2015,716,Open,Yes,No Holiday,No,1,2014.76923077
89,89,90,5,31-07-2015,1295,Open,Yes,No Holiday,Yes,0,0.0
90,90,91,5,31-07-2015,554,Open,Yes,No Holiday,Yes,1,2011.67307692
91,91,92,5,31-07-2015,701,Open,Yes,No Holiday,Yes,0,0.0
92,92,93,5,31-07-2015,715,Open,Yes,No Holiday,Yes,1,2011.26923077
93,93,94,5,31-07-2015,694,Open,Yes,No Holiday,Yes,0,0.0
94,94,95,5,31-07-2015,920,Open,Yes,No Holiday,Yes,0,0.0
95,95,96,5,31-07-2015,612,Open,Yes,No Holiday,Yes,1,2009.71153846
96,96,97,5,31-07-2015,802,Open,Yes,No Holiday,Yes,0,0.0
97,97,98,5,31-07-2015,512,Open,Yes,No Holiday,Yes,1,2012.01923077
98,98,99,5,31-07-2015,507,Open,Yes,No Holiday,No,0,0.0
99,99,100,5,31-07-2015,764,Open,Yes,No Holiday,No,0,0.0
100,100,101,5,31-07-2015,915,Open,Yes,No Holiday,Yes,0,0.0
101,101,102,5,31-07-2015,1414,Open,Yes,No Holiday,Yes,0,0.0
102,102,103,5,31-07-2015,453,Open,Yes,No Holiday,Yes,0,0.0
103,103,104,5,31-07-2015,1223,Open,Yes,No Holiday,Yes,0,0.0
104,104,105,5,31-07-2015,595,Open,Yes,No Holiday,Yes,0,0.0
105,105,106,5,31-07-2015,958,Open,Yes,No Holiday,Yes,0,0.0
106,106,107,5,31-07-2015,1021,Open,Yes,No Holiday,Yes,0,0.0
107,107,108,5,31-07-2015,992,Open,Yes,No Holiday,No,0,0.0
108,108,109,5,31-07-2015,864,Open,Yes,No Holiday,Yes,0,0.0
109,109,110,5,31-07-2015,745,Open,Yes,No Holiday,Yes,0,0.0
110,110,111,5,31-07-2015,698,Open,Yes,No Holiday,Yes,1,2009.71153846
111,111,112,5,31-07-2015,817,Open,Yes,No Holiday,Yes,0,0.0
112,112,113,5,31-07-2015,735,Open,Yes,No Holiday,No,0,0.0
113,113,114,5,31-07-2015,620,Open,Yes,No Holiday,Yes,0,0.0
114,114,115,5,31-07-2015,674,Open,Yes,No Holiday,No,1,2014.76923077
115,115,116,5,31-07-2015,770,Open,Yes,No Holiday,Yes,0,0.0
116,116,117,5,31-07-2015,507,Open,Yes,No Holiday,Yes,0,0.0
117,117,118,5,31-07-2015,797,Open,Yes,No Holiday,Yes,0,0.0
118,118,119,5,31-07-2015,684,Open,Yes,No Holiday,Yes,0,0.0
119,119,120,5,31-07-2015,794,Open,Yes,No Holiday,Yes,1,2009.71153846
120,120,121,5,31-07-2015,549,Open,Yes,No Holiday,Yes,0,0.0
121,121,122,5,31-07-2015,1327,Open,Yes,No Holiday,Yes,0,0.0
122,122,123,5,31-07-2015,1108,Open,Yes,No Holiday,Yes,0,0.0
123,123,124,5,31-07-2015,780,Open,Yes,No Holiday,Yes,0,0.0
124,124,125,5,31-07-2015,2041,Open,Yes,No Holiday,Yes,0,0.0
125,125,126,5,31-07-2015,734,Open,Yes,No Holiday,Yes,0,0.0
126,126,127,5,31-07-2015,848,Open,Yes,No Holiday,No,1,2010.25
127,127,128,5,31-07-2015,694,Open,Yes,No Holiday,Yes,1,2013.01923077
128,128,129,5,31-07-2015,1286,Open,Yes,No Holiday,No,1,2011.26923077
129,129,130,5,31-07-2015,545,Open,Yes,No Holiday,Yes,1,2010.25
130,130,131,5,31-07-2015,524,Open,Yes,No Holiday,Yes,0,0.0
131,131,132,5,31-07-2015,743,Open,Yes,No Holiday,No,1,2012.51923077
132,132,133,5,31-07-2015,876,Open,Yes,No Holiday,Yes,0,0.0
133,133,134,5,31-07-2015,501,Open,Yes,No Holiday,Yes,0,0.0
134,134,135,5,31-07-2015,619,Open,Yes,No Holiday,Yes,1,2013.01923077
135,135,136,5,31-07-2015,619,Open,Yes,No Holiday,No,0,0.0
136,136,137,5,31-07-2015,1121,Open,Yes,No Holiday,No,1,2014.76923077
137,137,138,5,31-07-2015,866,Open,Yes,No Holiday,Yes,0,0.0
138,138,139,5,31-07-2015,564,Open,Yes,No Holiday,No,1,2011.26923077
139,139,140,5,31-07-2015,1085,Open,Yes,No Holiday,Yes,1,2013.01923077
140,140,141,5,31-07-2015,813,Open,Yes,No Holiday,Yes,0,0.0
141,141,142,5,31-07-2015,614,Open,Yes,No Holiday,Yes,0,0.0
142,142,143,5,31-07-2015,720,Open,Yes,No Holiday,Yes,0,0.0
143,143,144,5,31-07-2015,817,Open,Yes,No Holiday,No,0,0.0
144,144,145,5,31-07-2015,1343,Open,Yes,No Holiday,No,0,0.0
145,145,146,5,31-07-2015,784,Open,Yes,No Holiday,Yes,1,2012.92307692
146,146,147,5,31-07-2015,1007,Open,Yes,No Holiday,Yes,0,0.0
147,147,148,5,31-07-2015,848,Open,Yes,No Holiday,Yes,0,0.0
148,148,149,5,31-07-2015,615,Open,Yes,No Holiday,No,1,2011.26923077
149,149,150,5,31-07-2015,975,Open,Yes,No Holiday,Yes,0,0.0
150,150,151,5,31-07-2015,853,Open,Yes,No Holiday,Yes,0,0.0
151,151,152,5,31-07-2015,694,Open,Yes,No Holiday,Yes,0,0.0
152,152,153,5,31-07-2015,638,Open,Yes,No Holiday,Yes,0,0.0
153,153,154,5,31-07-2015,792,Open,Yes,No Holiday,Yes,0,0.0
154,154,155,5,31-07-2015,765,Open,Yes,No Holiday,No,1,2010.67307692
155,155,156,5,31-07-2015,821,Open,Yes,No Holiday,Yes,0,0.0
156,156,157,5,31-07-2015,1060,Open,Yes,No Holiday,Yes,0,0.0
157,157,158,5,31-07-2015,636,Open,Yes,No Holiday,Yes,0,0.0
158,158,159,5,31-07-2015,812,Open,Yes,No Holiday,No,0,0.0
159,159,160,5,31-07-2015,670,Open,Yes,No Holiday,Yes,0,0.0
160,160,161,5,31-07-2015,924,Open,Yes,No Holiday,Yes,0,0.0
161,161,162,5,31-07-2015,658,Open,Yes,No Holiday,Yes,1,2010.25
162,162,163,5,31-07-2015,823,Open,Yes,No Holiday,Yes,0,0.0
163,163,164,5,31-07-2015,792,Open,Yes,No Holiday,No,1,2010.25
164,164,165,5,31-07-2015,501,Open,Yes,No Holiday,No,1,2010.25
165,165,166,5,31-07-2015,898,Open,Yes,No Holiday,Yes,1,2013.59615385
166,166,167,5,31-07-2015,1352,Open,Yes,No Holiday,Yes,0,0.0
167,167,168,5,31-07-2015,957,Open,Yes,No Holiday,Yes,0,0.0
168,168,169,5,31-07-2015,657,Open,Yes,No Holiday,Yes,0,0.0
169,169,170,5,31-07-2015,589,Open,Yes,No Holiday,Yes,1,2011.26923077
170,170,171,5,31-07-2015,848,Open,Yes,No Holiday,Yes,0,0.0
171,171,172,5,31-07-2015,891,Open,Yes,No Holiday,No,1,2014.76923077
172,172,173,5,31-07-2015,1145,Open,Yes,No Holiday,Yes,0,0.0
173,173,174,5,31-07-2015,544,Open,Yes,No Holiday,No,1,2012.42307692
174,174,175,5,31-07-2015,754,Open,Yes,No Holiday,Yes,0,0.0
175,175,176,5,31-07-2015,734,Open,Yes,No Holiday,Yes,0,0.0
176,176,177,5,31-07-2015,525,Open,Yes,No Holiday,Yes,0,0.0
177,177,178,5,31-07-2015,1070,Open,Yes,No Holiday,Yes,0,0.0
178,178,179,5,31-07-2015,1183,Open,Yes,No Holiday,Yes,0,0.0
179,179,180,5,31-07-2015,910,Open,Yes,No Holiday,Yes,0,0.0
180,180,181,5,31-07-2015,801,Open,Yes,No Holiday,No,1,2011.26923077
181,181,182,5,31-07-2015,491,Open,Yes,No Holiday,Yes,0,0.0
182,182,183,5,31-07-2015,714,Open,Yes,No Holiday,No,0,0.0
183,183,184,5,31-07-2015,652,Open,Yes,No Holiday,Yes,0,0.0
184,184,185,5,31-07-2015,602,Open,Yes,No Holiday,Yes,0,0.0
185,185,186,5,31-07-2015,447,Open,Yes,No Holiday,No,1,2014.76923077
186,186,187,5,31-07-2015,907,Open,Yes,No Holiday,Yes,0,0.0
187,187,188,5,31-07-2015,746,Open,Yes,No Holiday,Yes,0,0.0
188,188,189,5,31-07-2015,940,Open,Yes,No Holiday,Yes,0,0.0
189,189,190,5,31-07-2015,821,Open,Yes,No Holiday,No,1,2014.76923077
190,190,191,5,31-07-2015,801,Open,Yes,No Holiday,No,1,2014.76923077
191,191,192,5,31-07-2015,1027,Open,Yes,No Holiday,No,1,2014.76923077
192,192,193,5,31-07-2015,813,Open,Yes,No Holiday,Yes,0,0.0
193,193,194,5,31-07-2015,518,Open,Yes,No Holiday,Yes,0,0.0
194,194,195,5,31-07-2015,1403,Open,Yes,No Holiday,Yes,0,0.0
195,195,196,5,31-07-2015,780,Open,Yes,No Holiday,Yes,1,2011.26923077
196,196,197,5,31-07-2015,1054,Open,Yes,No Holiday,Yes,0,0.0
197,197,198,5,31-07-2015,473,Open,Yes,No Holiday,Yes,1,2010.25
198,198,199,5,31-07-2015,756,Open,Yes,No Holiday,Yes,0,0.0
199,199,200,5,31-07-2015,1122,Open,Yes,No Holiday,Yes,0,0.0
200,200,201,5,31-07-2015,544,Open,Yes,No Holiday,Yes,0,0.0
201,201,202,5,31-07-2015,627,Open,Yes,No Holiday,Yes,0,0.0
202,202,203,5,31-07-2015,960,Open,Yes,No Holiday,Yes,0,0.0
203,203,204,5,31-07-2015,655,Open,Yes,No Holiday,No,1,2014.76923077
204,204,205,5,31-07-2015,969,Open,Yes,No Holiday,Yes,0,0.0
205,205,206,5,31-07-2015,1004,Open,Yes,No Holiday,Yes,1,2012.26923077
206,206,207,5,31-07-2015,1436,Open,Yes,No Holiday,Yes,0,0.0
207,207,208,5,31-07-2015,508,Open,Yes,No Holiday,Yes,0,0.0
208,208,209,5,31-07-2015,830,Open,Yes,No Holiday,Yes,1,2013.59615385
209,209,210,5,31-07-2015,409,Open,Yes,No Holiday,Yes,0,0.0
210,210,211,5,31-07-2015,1659,Open,Yes,No Holiday,Yes,0,0.0
211,211,212,5,31-07-2015,471,Open,Yes,No Holiday,Yes,0,0.0
212,212,213,5,31-07-2015,754,Open,Yes,No Holiday,Yes,1,2014.01923077
213,213,214,5,31-07-2015,805,Open,Yes,No Holiday,Yes,1,2014.19230769
214,214,215,5,31-07-2015,705,Open,Yes,No Holiday,No,0,0.0
215,215,216,5,31-07-2015,1077,Open,Yes,No Holiday,Yes,0,0.0
216,216,217,5,31-07-2015,759,Open,Yes,No Holiday,Yes,0,0.0
217,217,218,5,31-07-2015,768,Open,Yes,No Holiday,No,0,0.0
218,218,219,5,31-07-2015,433,Open,Yes,No Holiday,Yes,0,0.0
219,219,220,5,31-07-2015,687,Open,Yes,No Holiday,Yes,0,0.0
220,220,221,5,31-07-2015,651,Open,Yes,No Holiday,Yes,0,0.0
221,221,222,5,31-07-2015,627,Open,Yes,No Holiday,Yes,0,0.0
222,222,223,5,31-07-2015,898,Open,Yes,No Holiday,Yes,1,2011.51923077
223,223,224,5,31-07-2015,594,Open,Yes,No Holiday,Yes,1,2013.01923077
224,224,225,5,31-07-2015,682,Open,Yes,No Holiday,Yes,0,0.0
225,225,226,5,31-07-2015,730,Open,Yes,No Holiday,Yes,0,0.0
226,226,227,5,31-07-2015,595,Open,Yes,No Holiday,Yes,0,0.0
227,227,228,5,31-07-2015,689,Open,Yes,No Holiday,Yes,0,0.0
228,228,229,5,31-07-2015,937,Open,Yes,No Holiday,Yes,1,2011.26923077
229,229,230,5,31-07-2015,1091,Open,Yes,No Holiday,Yes,0,0.0
230,230,231,5,31-07-2015,614,Open,Yes,No Holiday,No,0,0.0
231,231,232,5,31-07-2015,469,Open,Yes,No Holiday,Yes,0,0.0
232,232,233,5,31-07-2015,1148,Open,Yes,No Holiday,Yes,0,0.0
233,233,234,5,31-07-2015,1088,Open,Yes,No Holiday,Yes,0,0.0
234,234,235,5,31-07-2015,548,Open,Yes,No Holiday,Yes,1,2009.71153846
235,235,236,5,31-07-2015,1086,Open,Yes,No Holiday,Yes,0,0.0
236,236,237,5,31-07-2015,564,Open,Yes,No Holiday,Yes,0,0.0
237,237,238,5,31-07-2015,1372,Open,Yes,No Holiday,Yes,0,0.0
238,238,239,5,31-07-2015,523,Open,Yes,No Holiday,Yes,0,0.0
239,239,240,5,31-07-2015,474,Open,Yes,No Holiday,Yes,0,0.0
240,240,241,5,31-07-2015,763,Open,Yes,No Holiday,Yes,0,0.0
241,241,242,5,31-07-2015,451,Open,Yes,No Holiday,Yes,1,2011.26923077
242,242,243,5,31-07-2015,1249,Open,Yes,No Holiday,No,0,0.0
243,243,244,5,31-07-2015,635,Open,Yes,No Holiday,Yes,1,2012.01923077
244,244,245,5,31-07-2015,1139,Open,Yes,No Holiday,Yes,0,0.0
245,245,246,5,31-07-2015,1131,Open,Yes,No Holiday,Yes,0,0.0
246,246,247,5,31-07-2015,839,Open,Yes,No Holiday,Yes,0,0.0
247,247,248,5,31-07-2015,1228,Open,Yes,No Holiday,Yes,1,2012.76923077
248,248,249,5,31-07-2015,630,Open,Yes,No Holiday,Yes,0,0.0
249,249,250,5,31-07-2015,887,Open,Yes,No Holiday,Yes,0,0.0
250,250,251,5,31-07-2015,2508,Open,Yes,No Holiday,Yes,0,0.0
251,251,252,5,31-07-2015,954,Open,Yes,No Holiday,Yes,0,0.0
252,252,253,5,31-07-2015,906,Open,Yes,No Holiday,Yes,0,0.0
253,253,254,5,31-07-2015,315,Open,Yes,No Holiday,Yes,0,0.0
254,254,255,5,31-07-2015,739,Open,Yes,No Holiday,Yes,0,0.0
255,255,256,5,31-07-2015,1185,Open,Yes,No Holiday,Yes,0,0.0
256,256,257,5,31-07-2015,749,Open,Yes,No Holiday,Yes,0,0.0
257,257,258,5,31-07-2015,601,Open,Yes,No Holiday,No,1,2009.71153846
258,258,259,5,31-07-2015,2628,Open,Yes,No Holiday,Yes,0,0.0
259,259,260,5,31-07-2015,835,Open,Yes,No Holiday,Yes,0,0.0
260,260,261,5,31-07-2015,989,Open,Yes,No Holiday,Yes,1,2009.75
261,261,262,5,31-07-2015,3669,Open,Yes,No Holiday,Yes,0,0.0
262,262,263,5,31-07-2015,440,Open,Yes,No Holiday,No,1,2014.76923077
263,263,264,5,31-07-2015,992,Open,Yes,No Holiday,Yes,0,0.0
264,264,265,5,31-07-2015,655,Open,Yes,No Holiday,Yes,1,2015.26923077
265,265,266,5,31-07-2015,495,Open,Yes,No Holiday,Yes,0,0.0
266,266,267,5,31-07-2015,1217,Open,Yes,No Holiday,Yes,0,0.0
267,267,268,5,31-07-2015,740,Open,Yes,No Holiday,Yes,0,0.0
268,268,269,5,31-07-2015,1304,Open,Yes,No Holiday,Yes,0,0.0
269,269,270,5,31-07-2015,1338,Open,Yes,No Holiday,Yes,0,0.0
270,270,271,5,31-07-2015,934,Open,Yes,No Holiday,Yes,1,2011.26923077
271,271,272,5,31-07-2015,774,Open,Yes,No Holiday,Yes,1,2011.26923077
272,272,273,5,31-07-2015,792,Open,Yes,No Holiday,Yes,0,0.0
273,273,274,5,31-07-2015,1374,Open,Yes,No Holiday,Yes,1,2013.19230769
274,274,275,5,31-07-2015,774,Open,Yes,No Holiday,No,1,2014.76923077
275,275,276,5,31-07-2015,575,Open,Yes,No Holiday,Yes,0,0.0
276,276,277,5,31-07-2015,724,Open,Yes,No Holiday,No,0,0.0
277,277,278,5,31-07-2015,929,Open,Yes,No Holiday,Yes,0,0.0
278,278,279,5,31-07-2015,814,Open,Yes,No Holiday,No,1,2012.76923077
279,279,280,5,31-07-2015,579,Open,Yes,No Holiday,Yes,0,0.0
280,280,281,5,31-07-2015,633,Open,Yes,No Holiday,Yes,0,0.0
281,281,282,5,31-07-2015,608,Open,Yes,No Holiday,Yes,0,0.0
282,282,283,5,31-07-2015,839,Open,Yes,No Holiday,No,1,2014.76923077
283,283,284,5,31-07-2015,520,Open,Yes,No Holiday,No,1,2014.76923077
284,284,285,5,31-07-2015,540,Open,Yes,No Holiday,Yes,0,0.0
285,285,286,5,31-07-2015,438,Open,Yes,No Holiday,Yes,0,0.0
286,286,287,5,31-07-2015,865,Open,Yes,No Holiday,No,1,2014.76923077
287,287,288,5,31-07-2015,480,Open,Yes,No Holiday,No,0,0.0
288,288,289,5,31-07-2015,616,Open,Yes,No Holiday,Yes,0,0.0
289,289,290,5,31-07-2015,719,Open,Yes,No Holiday,Yes,0,0.0
290,290,291,5,31-07-2015,973,Open,Yes,No Holiday,Yes,0,0.0
291,291,292,5,31-07-2015,0,Close,Yes,No Holiday,Yes,0,0.0
292,292,293,5,31-07-2015,878,Open,Yes,No Holiday,Yes,0,0.0
293,293,294,5,31-07-2015,889,Open,Yes,No Holiday,Yes,0,0.0
294,294,295,5,31-07-2015,834,Open,Yes,No Holiday,Yes,0,0.0
295,295,296,5,31-07-2015,801,Open,Yes,No Holiday,Yes,0,0.0
296,296,297,5,31-07-2015,802,Open,Yes,No Holiday,Yes,0,0.0
297,297,298,5,31-07-2015,803,Open,Yes,No Holiday,No,0,0.0
298,298,299,5,31-07-2015,1015,Open,Yes,No Holiday,Yes,0,0.0
299,299,300,5,31-07-2015,1082,Open,Yes,No Holiday,Yes,1,2012.01923077
300,300,301,5,31-07-2015,629,Open,Yes,No Holiday,Yes,0,0.0
301,301,302,5,31-07-2015,393,Open,Yes,No Holiday,Yes,0,0.0
302,302,303,5,31-07-2015,849,Open,Yes,No Holiday,Yes,0,0.0
303,303,304,5,31-07-2015,1183,Open,Yes,No Holiday,Yes,0,0.0
304,304,305,5,31-07-2015,599,Open,Yes,No Holiday,Yes,0,0.0
305,305,306,5,31-07-2015,593,Open,Yes,No Holiday,No,1,2014.76923077
306,306,307,5,31-07-2015,377,Open,Yes,No Holiday,Yes,0,0.0
307,307,308,5,31-07-2015,1026,Open,Yes,No Holiday,Yes,1,2010.25
308,308,309,5,31-07-2015,707,Open,Yes,No Holiday,Yes,0,0.0
309,309,310,5,31-07-2015,926,Open,Yes,No Holiday,Yes,0,0.0
310,310,311,5,31-07-2015,826,Open,Yes,No Holiday,Yes,0,0.0
311,311,312,5,31-07-2015,651,Open,Yes,No Holiday,Yes,0,0.0
312,312,313,5,31-07-2015,926,Open,Yes,No Holiday,Yes,0,0.0
313,313,314,5,31-07-2015,700,Open,Yes,No Holiday,Yes,0,0.0
314,314,315,5,31-07-2015,553,Open,Yes,No Holiday,Yes,0,0.0
315,315,316,5,31-07-2015,927,Open,Yes,No Holiday,Yes,0,0.0
316,316,317,5,31-07-2015,683,Open,Yes,No Holiday,No,1,2011.26923077
317,317,318,5,31-07-2015,746,Open,Yes,No Holiday,Yes,0,0.0
318,318,319,5,31-07-2015,1079,Open,Yes,No Holiday,Yes,0,0.0
319,319,320,5,31-07-2015,2316,Open,Yes,No Holiday,Yes,0,0.0
320,320,321,5,31-07-2015,688,Open,Yes,No Holiday,Yes,0,0.0
321,321,322,5,31-07-2015,621,Open,Yes,No Holiday,Yes,1,2009.71153846
322,322,323,5,31-07-2015,716,Open,Yes,No Holiday,Yes,0,0.0
323,323,324,5,31-07-2015,855,Open,Yes,No Holiday,Yes,1,2011.26923077
324,324,325,5,31-07-2015,742,Open,Yes,No Holiday,Yes,0,0.0
325,325,326,5,31-07-2015,544,Open,Yes,No Holiday,Yes,0,0.0
326,326,327,5,31-07-2015,1150,Open,Yes,No Holiday,Yes,0,0.0
327,327,328,5,31-07-2015,577,Open,Yes,No Holiday,Yes,0,0.0
328,328,329,5,31-07-2015,743,Open,Yes,No Holiday,Yes,0,0.0
329,329,330,5,31-07-2015,489,Open,Yes,No Holiday,Yes,0,0.0
330,330,331,5,31-07-2015,814,Open,Yes,No Holiday,Yes,1,2015.26923077
331,331,332,5,31-07-2015,520,Open,Yes,No Holiday,Yes,0,0.0
332,332,333,5,31-07-2015,1399,Open,Yes,No Holiday,Yes,0,0.0
333,333,334,5,31-07-2015,599,Open,Yes,No Holiday,Yes,0,0.0
334,334,335,5,31-07-2015,2592,Open,Yes,No Holiday,Yes,1,2013.59615385
335,335,336,5,31-07-2015,2049,Open,Yes,No Holiday,Yes,0,0.0
336,336,337,5,31-07-2015,493,Open,Yes,No Holiday,Yes,0,0.0
337,337,338,5,31-07-2015,657,Open,Yes,No Holiday,Yes,1,2009.71153846
338,338,339,5,31-07-2015,840,Open,Yes,No Holiday,Yes,0,0.0
339,339,340,5,31-07-2015,802,Open,Yes,No Holiday,Yes,0,0.0
