,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,CompetitionDist,CompetitionOpen
103,104,5,31-07-2015,1223,Open,Yes,No Holiday,Yes,390.0,2009.5
104,105,5,31-07-2015,595,Open,Yes,No Holiday,Yes,6190.0,2008.58333333
105,106,5,31-07-2015,958,Open,Yes,No Holiday,Yes,1390.0,2013.66666667
106,107,5,31-07-2015,1021,Open,Yes,No Holiday,Yes,1930.0,2009.75
107,108,5,31-07-2015,992,Open,Yes,No Holiday,No,2190.0,2003.75
108,109,5,31-07-2015,864,Open,Yes,No Holiday,Yes,3300.0,2010.91666667
109,110,5,31-07-2015,745,Open,Yes,No Holiday,Yes,46590.0,2013.33333333
110,111,5,31-07-2015,698,Open,Yes,No Holiday,Yes,7890.0,2008.58333333
111,112,5,31-07-2015,817,Open,Yes,No Holiday,Yes,1630.0,2009.75
112,113,5,31-07-2015,735,Open,Yes,No Holiday,No,20930.0,1999.91666667
113,114,5,31-07-2015,620,Open,Yes,No Holiday,Yes,4510.0,2008.58333333
114,115,5,31-07-2015,674,Open,Yes,No Holiday,No,5740.0,2007.33333333
115,116,5,31-07-2015,770,Open,Yes,No Holiday,Yes,680.0,2013.33333333
116,117,5,31-07-2015,507,Open,Yes,No Holiday,Yes,3450.0,2011.75
117,118,5,31-07-2015,797,Open,Yes,No Holiday,Yes,3580.0,2012.75
118,119,5,31-07-2015,684,Open,Yes,No Holiday,Yes,2100.0,2010.16666667
119,120,5,31-07-2015,794,Open,Yes,No Holiday,Yes,2290.0,2015.0
120,121,5,31-07-2015,549,Open,Yes,No Holiday,Yes,3570.0,2009.91666667
121,122,5,31-07-2015,1327,Open,Yes,No Holiday,Yes,58260.0,2013.33333333
122,123,5,31-07-2015,1108,Open,Yes,No Holiday,Yes,16760.0,2011.75
123,124,5,31-07-2015,780,Open,Yes,No Holiday,Yes,1410.0,2003.33333333
124,125,5,31-07-2015,2041,Open,Yes,No Holiday,Yes,760.0,2006.0
125,126,5,31-07-2015,734,Open,Yes,No Holiday,Yes,3370.0,2014.83333333
126,127,5,31-07-2015,848,Open,Yes,No Holiday,No,1350.0,2006.0
127,128,5,31-07-2015,694,Open,Yes,No Holiday,Yes,2000.0,2008.58333333
128,129,5,31-07-2015,1286,Open,Yes,No Holiday,No,2460.0,2008.58333333
129,130,5,31-07-2015,545,Open,Yes,No Holiday,Yes,900.0,2008.58333333
130,131,5,31-07-2015,524,Open,Yes,No Holiday,Yes,920.0,2015.58333333
131,132,5,31-07-2015,743,Open,Yes,No Holiday,No,1040.0,2008.58333333
132,133,5,31-07-2015,876,Open,Yes,No Holiday,Yes,270.0,2013.66666667
133,134,5,31-07-2015,501,Open,Yes,No Holiday,Yes,1200.0,2008.75
134,135,5,31-07-2015,619,Open,Yes,No Holiday,Yes,5190.0,2008.58333333
135,136,5,31-07-2015,619,Open,Yes,No Holiday,No,2200.0,2011.0
136,137,5,31-07-2015,1121,Open,Yes,No Holiday,No,1730.0,2015.58333333
137,138,5,31-07-2015,866,Open,Yes,No Holiday,Yes,25360.0,2014.83333333
138,139,5,31-07-2015,564,Open,Yes,No Holiday,No,1700.0,2008.08333333
139,140,5,31-07-2015,1085,Open,Yes,No Holiday,Yes,1090.0,2010.58333333
140,141,5,31-07-2015,813,Open,Yes,No Holiday,Yes,1540.0,2008.58333333
141,142,5,31-07-2015,614,Open,Yes,No Holiday,Yes,1090.0,2002.58333333
142,143,5,31-07-2015,720,Open,Yes,No Holiday,Yes,2930.0,2003.0
143,144,5,31-07-2015,817,Open,Yes,No Holiday,No,16570.0,2008.58333333
144,145,5,31-07-2015,1343,Open,Yes,No Holiday,No,280.0,2008.58333333
145,146,5,31-07-2015,784,Open,Yes,No Holiday,Yes,8050.0,1961.83333333
146,147,5,31-07-2015,1007,Open,Yes,No Holiday,Yes,8540.0,2008.58333333
147,148,5,31-07-2015,848,Open,Yes,No Holiday,Yes,2090.0,2009.0
148,149,5,31-07-2015,615,Open,Yes,No Holiday,No,2610.0,2006.58333333
149,150,5,31-07-2015,975,Open,Yes,No Holiday,Yes,31830.0,2010.25
150,151,5,31-07-2015,853,Open,Yes,No Holiday,Yes,4360.0,2005.83333333
151,152,5,31-07-2015,694,Open,Yes,No Holiday,Yes,1780.0,2008.58333333
152,153,5,31-07-2015,638,Open,Yes,No Holiday,Yes,16240.0,2000.83333333
153,154,5,31-07-2015,792,Open,Yes,No Holiday,Yes,16420.0,2008.58333333
154,155,5,31-07-2015,765,Open,Yes,No Holiday,No,3050.0,2008.58333333
155,156,5,31-07-2015,821,Open,Yes,No Holiday,Yes,2020.0,2011.16666667
156,157,5,31-07-2015,1060,Open,Yes,No Holiday,Yes,2950.0,2004.83333333
157,158,5,31-07-2015,636,Open,Yes,No Holiday,Yes,11840.0,2008.58333333
158,159,5,31-07-2015,812,Open,Yes,No Holiday,No,8530.0,2013.25
159,160,5,31-07-2015,670,Open,Yes,No Holiday,Yes,17110.0,2005.91666667
160,161,5,31-07-2015,924,Open,Yes,No Holiday,Yes,2970.0,2005.25
161,162,5,31-07-2015,658,Open,Yes,No Holiday,Yes,5340.0,2012.25
162,163,5,31-07-2015,823,Open,Yes,No Holiday,Yes,1480.0,2009.33333333
163,164,5,31-07-2015,792,Open,Yes,No Holiday,No,1160.0,2005.75
164,165,5,31-07-2015,501,Open,Yes,No Holiday,No,3720.0,2005.33333333
165,166,5,31-07-2015,898,Open,Yes,No Holiday,Yes,100.0,2014.33333333
166,167,5,31-07-2015,1352,Open,Yes,No Holiday,Yes,140.0,2008.33333333
167,168,5,31-07-2015,957,Open,Yes,No Holiday,Yes,12540.0,2008.58333333
168,169,5,31-07-2015,657,Open,Yes,No Holiday,Yes,980.0,2014.58333333
169,170,5,31-07-2015,589,Open,Yes,No Holiday,Yes,1070.0,2015.41666667
170,171,5,31-07-2015,848,Open,Yes,No Holiday,Yes,2640.0,2008.58333333
171,172,5,31-07-2015,891,Open,Yes,No Holiday,No,110.0,2008.58333333
172,173,5,31-07-2015,1145,Open,Yes,No Holiday,Yes,350.0,2013.0
173,174,5,31-07-2015,544,Open,Yes,No Holiday,No,13090.0,2008.58333333
174,175,5,31-07-2015,754,Open,Yes,No Holiday,Yes,4130.0,2008.58333333
175,176,5,31-07-2015,734,Open,Yes,No Holiday,Yes,3770.0,2008.58333333
176,177,5,31-07-2015,525,Open,Yes,No Holiday,Yes,1250.0,2004.16666667
177,178,5,31-07-2015,1070,Open,Yes,No Holiday,Yes,1710.0,2008.58333333
178,179,5,31-07-2015,1183,Open,Yes,No Holiday,Yes,480.0,2008.58333333
179,180,5,31-07-2015,910,Open,Yes,No Holiday,Yes,5800.0,2010.75
180,181,5,31-07-2015,801,Open,Yes,No Holiday,No,12610.0,2013.25
181,182,5,31-07-2015,491,Open,Yes,No Holiday,Yes,1390.0,2008.58333333
182,183,5,31-07-2015,714,Open,Yes,No Holiday,No,9670.0,2008.58333333
183,184,5,31-07-2015,652,Open,Yes,No Holiday,Yes,3560.0,2008.58333333
184,185,5,31-07-2015,602,Open,Yes,No Holiday,Yes,1860.0,2015.41666667
185,186,5,31-07-2015,447,Open,Yes,No Holiday,No,290.0,2011.83333333
186,187,5,31-07-2015,907,Open,Yes,No Holiday,Yes,19360.0,2008.58333333
187,188,5,31-07-2015,746,Open,Yes,No Holiday,Yes,850.0,2008.58333333
188,189,5,31-07-2015,940,Open,Yes,No Holiday,Yes,5760.0,2014.58333333
189,190,5,31-07-2015,821,Open,Yes,No Holiday,No,1470.0,2007.0
190,191,5,31-07-2015,801,Open,Yes,No Holiday,No,1100.0,2013.66666667
191,192,5,31-07-2015,1027,Open,Yes,No Holiday,No,2770.0,2008.25
192,193,5,31-07-2015,813,Open,Yes,No Holiday,Yes,520.0,2008.58333333
193,194,5,31-07-2015,518,Open,Yes,No Holiday,Yes,16970.0,2008.58333333
194,195,5,31-07-2015,1403,Open,Yes,No Holiday,Yes,220.0,2008.58333333
195,196,5,31-07-2015,780,Open,Yes,No Holiday,Yes,3850.0,2005.91666667
196,197,5,31-07-2015,1054,Open,Yes,No Holiday,Yes,4210.0,2015.25
197,198,5,31-07-2015,473,Open,Yes,No Holiday,Yes,290.0,2002.75
198,199,5,31-07-2015,756,Open,Yes,No Holiday,Yes,6360.0,2011.0
199,200,5,31-07-2015,1122,Open,Yes,No Holiday,Yes,1650.0,2000.83333333
200,201,5,31-07-2015,544,Open,Yes,No Holiday,Yes,20260.0,2008.58333333
201,202,5,31-07-2015,627,Open,Yes,No Holiday,Yes,5140.0,2010.41666667
202,203,5,31-07-2015,960,Open,Yes,No Holiday,Yes,490.0,2002.91666667
203,204,5,31-07-2015,655,Open,Yes,No Holiday,No,5630.0,2003.0
204,205,5,31-07-2015,969,Open,Yes,No Holiday,Yes,110.0,2008.0
205,206,5,31-07-2015,1004,Open,Yes,No Holiday,Yes,380.0,2008.58333333
206,207,5,31-07-2015,1436,Open,Yes,No Holiday,Yes,6870.0,2008.58333333
207,208,5,31-07-2015,508,Open,Yes,No Holiday,Yes,300.0,2006.33333333
208,209,5,31-07-2015,830,Open,Yes,No Holiday,Yes,11680.0,2011.75
209,210,5,31-07-2015,409,Open,Yes,No Holiday,Yes,970.0,1999.91666667
210,211,5,31-07-2015,1659,Open,Yes,No Holiday,Yes,350.0,2006.91666667
211,212,5,31-07-2015,471,Open,Yes,No Holiday,Yes,15050.0,2008.75
212,213,5,31-07-2015,754,Open,Yes,No Holiday,Yes,4030.0,2014.25
213,214,5,31-07-2015,805,Open,Yes,No Holiday,Yes,8650.0,2013.58333333
214,215,5,31-07-2015,705,Open,Yes,No Holiday,No,150.0,2008.58333333
215,216,5,31-07-2015,1077,Open,Yes,No Holiday,Yes,190.0,2008.58333333
216,217,5,31-07-2015,759,Open,Yes,No Holiday,Yes,3150.0,2008.58333333
217,218,5,31-07-2015,768,Open,Yes,No Holiday,No,640.0,2008.58333333
218,219,5,31-07-2015,433,Open,Yes,No Holiday,Yes,1640.0,2013.16666667
219,220,5,31-07-2015,687,Open,Yes,No Holiday,Yes,1000.0,2008.75
220,221,5,31-07-2015,651,Open,Yes,No Holiday,Yes,13530.0,2013.75
221,222,5,31-07-2015,627,Open,Yes,No Holiday,Yes,2170.0,2008.91666667
222,223,5,31-07-2015,898,Open,Yes,No Holiday,Yes,2920.0,1995.83333333
223,224,5,31-07-2015,594,Open,Yes,No Holiday,Yes,7930.0,2008.58333333
224,225,5,31-07-2015,682,Open,Yes,No Holiday,Yes,10180.0,2015.41666667
225,226,5,31-07-2015,730,Open,Yes,No Holiday,Yes,450.0,2008.58333333
226,227,5,31-07-2015,595,Open,Yes,No Holiday,Yes,2370.0,2008.58333333
227,228,5,31-07-2015,689,Open,Yes,No Holiday,Yes,10800.0,2008.58333333
228,229,5,31-07-2015,937,Open,Yes,No Holiday,Yes,17410.0,2007.33333333
229,230,5,31-07-2015,1091,Open,Yes,No Holiday,Yes,6680.0,2013.75
230,231,5,31-07-2015,614,Open,Yes,No Holiday,No,3840.0,2008.83333333
231,232,5,31-07-2015,469,Open,Yes,No Holiday,Yes,13570.0,2010.41666667
232,233,5,31-07-2015,1148,Open,Yes,No Holiday,Yes,1890.0,2008.58333333
233,234,5,31-07-2015,1088,Open,Yes,No Holiday,Yes,4370.0,2008.58333333
234,235,5,31-07-2015,548,Open,Yes,No Holiday,Yes,5710.0,2012.25
235,236,5,31-07-2015,1086,Open,Yes,No Holiday,Yes,1000.0,2007.91666667
236,237,5,31-07-2015,564,Open,Yes,No Holiday,Yes,1420.0,2007.91666667
237,238,5,31-07-2015,1372,Open,Yes,No Holiday,Yes,320.0,2008.58333333
238,239,5,31-07-2015,523,Open,Yes,No Holiday,Yes,610.0,2008.58333333
239,240,5,31-07-2015,474,Open,Yes,No Holiday,Yes,1110.0,2009.41666667
240,241,5,31-07-2015,763,Open,Yes,No Holiday,Yes,780.0,2008.58333333
241,242,5,31-07-2015,451,Open,Yes,No Holiday,Yes,6880.0,2001.75
242,243,5,31-07-2015,1249,Open,Yes,No Holiday,No,310.0,2008.58333333
243,244,5,31-07-2015,635,Open,Yes,No Holiday,Yes,710.0,2012.25
244,245,5,31-07-2015,1139,Open,Yes,No Holiday,Yes,1310.0,2008.58333333
245,246,5,31-07-2015,1131,Open,Yes,No Holiday,Yes,4660.0,2013.33333333
246,247,5,31-07-2015,839,Open,Yes,No Holiday,Yes,70.0,2010.91666667
247,248,5,31-07-2015,1228,Open,Yes,No Holiday,Yes,340.0,2012.75
248,249,5,31-07-2015,630,Open,Yes,No Holiday,Yes,18010.0,2014.75
249,250,5,31-07-2015,887,Open,Yes,No Holiday,Yes,3520.0,2008.58333333
250,251,5,31-07-2015,2508,Open,Yes,No Holiday,Yes,340.0,2008.58333333
251,252,5,31-07-2015,954,Open,Yes,No Holiday,Yes,22330.0,2008.58333333
252,253,5,31-07-2015,906,Open,Yes,No Holiday,Yes,250.0,2008.58333333
253,254,5,31-07-2015,315,Open,Yes,No Holiday,Yes,330.0,2008.25
254,255,5,31-07-2015,739,Open,Yes,No Holiday,Yes,4630.0,2011.25
255,256,5,31-07-2015,1185,Open,Yes,No Holiday,Yes,80.0,2005.75
256,257,5,31-07-2015,749,Open,Yes,No Holiday,Yes,420.0,2013.0
257,258,5,31-07-2015,601,Open,Yes,No Holiday,No,27190.0,2010.58333333
258,259,5,31-07-2015,2628,Open,Yes,No Holiday,Yes,210.0,2008.58333333
259,260,5,31-07-2015,835,Open,Yes,No Holiday,Yes,540.0,2011.83333333
260,261,5,31-07-2015,989,Open,Yes,No Holiday,Yes,15340.0,2015.33333333
261,262,5,31-07-2015,3669,Open,Yes,No Holiday,Yes,1180.0,2013.41666667
262,263,5,31-07-2015,440,Open,Yes,No Holiday,No,1140.0,2013.41666667
263,264,5,31-07-2015,992,Open,Yes,No Holiday,Yes,180.0,2014.25
264,265,5,31-07-2015,655,Open,Yes,No Holiday,Yes,4580.0,2008.58333333
265,266,5,31-07-2015,495,Open,Yes,No Holiday,Yes,360.0,2014.25
266,267,5,31-07-2015,1217,Open,Yes,No Holiday,Yes,2460.0,2012.08333333
267,268,5,31-07-2015,740,Open,Yes,No Holiday,Yes,4520.0,2014.16666667
268,269,5,31-07-2015,1304,Open,Yes,No Holiday,Yes,60.0,2015.5
269,270,5,31-07-2015,1338,Open,Yes,No Holiday,Yes,1450.0,2014.58333333
270,271,5,31-07-2015,934,Open,Yes,No Holiday,Yes,420.0,2008.58333333
271,272,5,31-07-2015,774,Open,Yes,No Holiday,Yes,16180.0,2003.58333333
272,273,5,31-07-2015,792,Open,Yes,No Holiday,Yes,8480.0,2008.58333333
273,274,5,31-07-2015,1374,Open,Yes,No Holiday,Yes,3640.0,2008.58333333
274,275,5,31-07-2015,774,Open,Yes,No Holiday,No,300.0,2014.41666667
275,276,5,31-07-2015,575,Open,Yes,No Holiday,Yes,2960.0,2014.83333333
276,277,5,31-07-2015,724,Open,Yes,No Holiday,No,7840.0,2008.58333333
277,278,5,31-07-2015,929,Open,Yes,No Holiday,Yes,9260.0,2010.16666667
278,279,5,31-07-2015,814,Open,Yes,No Holiday,No,2320.0,2008.58333333
279,280,5,31-07-2015,579,Open,Yes,No Holiday,Yes,18640.0,2013.75
280,281,5,31-07-2015,633,Open,Yes,No Holiday,Yes,6970.0,2011.75
281,282,5,31-07-2015,608,Open,Yes,No Holiday,Yes,1220.0,2011.0
282,283,5,31-07-2015,839,Open,Yes,No Holiday,No,2260.0,2008.58333333
283,284,5,31-07-2015,520,Open,Yes,No Holiday,No,1290.0,2008.58333333
284,285,5,31-07-2015,540,Open,Yes,No Holiday,Yes,2410.0,2008.58333333
285,286,5,31-07-2015,438,Open,Yes,No Holiday,Yes,1460.0,2015.33333333
286,287,5,31-07-2015,865,Open,Yes,No Holiday,No,2740.0,2009.41666667
287,288,5,31-07-2015,480,Open,Yes,No Holiday,No,800.0,2008.58333333
288,289,5,31-07-2015,616,Open,Yes,No Holiday,Yes,6540.0,2008.0
289,290,5,31-07-2015,719,Open,Yes,No Holiday,Yes,4150.0,2001.41666667
290,291,5,31-07-2015,973,Open,Yes,No Holiday,Yes,,2008.58333333
291,292,5,31-07-2015,0,Close,Yes,No Holiday,Yes,1100.0,2009.5
292,293,5,31-07-2015,878,Open,Yes,No Holiday,Yes,140.0,2007.91666667
293,294,5,31-07-2015,889,Open,Yes,No Holiday,Yes,3150.0,2005.41666667
294,295,5,31-07-2015,834,Open,Yes,No Holiday,Yes,210.0,2000.91666667
295,296,5,31-07-2015,801,Open,Yes,No Holiday,Yes,9580.0,2007.41666667
296,297,5,31-07-2015,802,Open,Yes,No Holiday,Yes,2300.0,2010.75
297,298,5,31-07-2015,803,Open,Yes,No Holiday,No,19840.0,2009.58333333
298,299,5,31-07-2015,1015,Open,Yes,No Holiday,Yes,38630.0,2012.75
299,300,5,31-07-2015,1082,Open,Yes,No Holiday,Yes,120.0,2009.33333333
300,301,5,31-07-2015,629,Open,Yes,No Holiday,Yes,4510.0,2015.25
301,302,5,31-07-2015,393,Open,Yes,No Holiday,Yes,2190.0,2008.0
302,303,5,31-07-2015,849,Open,Yes,No Holiday,Yes,15430.0,2012.91666667
303,304,5,31-07-2015,1183,Open,Yes,No Holiday,Yes,1950.0,2015.58333333
304,305,5,31-07-2015,599,Open,Yes,No Holiday,Yes,2470.0,2005.16666667
305,306,5,31-07-2015,593,Open,Yes,No Holiday,No,5100.0,2007.33333333
306,307,5,31-07-2015,377,Open,Yes,No Holiday,Yes,18660.0,2002.75
307,308,5,31-07-2015,1026,Open,Yes,No Holiday,Yes,1070.0,2007.0
308,309,5,31-07-2015,707,Open,Yes,No Holiday,Yes,8740.0,2008.58333333
309,310,5,31-07-2015,926,Open,Yes,No Holiday,Yes,2290.0,2008.58333333
310,311,5,31-07-2015,826,Open,Yes,No Holiday,Yes,680.0,2005.58333333
311,312,5,31-07-2015,651,Open,Yes,No Holiday,Yes,11300.0,2012.25
312,313,5,31-07-2015,926,Open,Yes,No Holiday,Yes,14160.0,2008.58333333
313,314,5,31-07-2015,700,Open,Yes,No Holiday,Yes,3560.0,2001.83333333
314,315,5,31-07-2015,553,Open,Yes,No Holiday,Yes,38710.0,2013.33333333
315,316,5,31-07-2015,927,Open,Yes,No Holiday,Yes,9000.0,2001.66666667
316,317,5,31-07-2015,683,Open,Yes,No Holiday,No,3140.0,2013.58333333
317,318,5,31-07-2015,746,Open,Yes,No Holiday,Yes,32330.0,2014.25
318,319,5,31-07-2015,1079,Open,Yes,No Holiday,Yes,570.0,2012.75
319,320,5,31-07-2015,2316,Open,Yes,No Holiday,Yes,210.0,2012.75
320,321,5,31-07-2015,688,Open,Yes,No Holiday,Yes,8140.0,2013.91666667
321,322,5,31-07-2015,621,Open,Yes,No Holiday,Yes,17500.0,2001.33333333
